Country_Region,Italy,China-Hubei,Spain,Iran,France,US,United Kingdom,Netherlands,Germany,Belgium,Switzerland,"Korea, South",Indonesia
1/22/2020,0,17,0,0,0,0,0,0,0,0,0,0,0
1/23/2020,0,17,0,0,0,0,0,0,0,0,0,0,0
1/24/2020,0,24,0,0,0,0,0,0,0,0,0,0,0
1/25/2020,0,40,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,52,0,0,0,0,0,0,0,0,0,0,0
1/27/2020,0,76,0,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,125,0,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,125,0,0,0,0,0,0,0,0,0,0,0
1/30/2020,0,162,0,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,204,0,0,0,0,0,0,0,0,0,0,0
2/1/2020,0,249,0,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,350,0,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,414,0,0,0,0,0,0,0,0,0,0,0
2/4/2020,0,479,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,549,0,0,0,0,0,0,0,0,0,0,0
2/6/2020,0,618,0,0,0,0,0,0,0,0,0,0,0
2/7/2020,0,699,0,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,780,0,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,871,0,0,0,0,0,0,0,0,0,0,0
2/10/2020,0,974,0,0,0,0,0,0,0,0,0,0,0
2/11/2020,0,1068,0,0,0,0,0,0,0,0,0,0,0
2/12/2020,0,1068,0,0,0,0,0,0,0,0,0,0,0
2/13/2020,0,1310,0,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,1457,0,0,0,0,0,0,0,0,0,0,0
2/15/2020,0,1596,0,0,1,0,0,0,0,0,0,0,0
2/16/2020,0,1696,0,0,1,0,0,0,0,0,0,0,0
2/17/2020,0,1789,0,0,1,0,0,0,0,0,0,0,0
2/18/2020,0,1921,0,0,1,0,0,0,0,0,0,0,0
2/19/2020,0,2029,0,2,1,0,0,0,0,0,0,0,0
2/20/2020,0,2144,0,2,1,0,0,0,0,0,0,1,0
2/21/2020,1,2144,0,4,1,0,0,0,0,0,0,2,0
2/22/2020,2,2346,0,5,1,0,0,0,0,0,0,2,0
2/23/2020,3,2346,0,8,1,0,0,0,0,0,0,6,0
2/24/2020,7,2495,0,12,1,0,0,0,0,0,0,8,0
2/25/2020,10,2563,0,16,1,0,0,0,0,0,0,10,0
2/26/2020,12,2615,0,19,2,0,0,0,0,0,0,12,0
2/27/2020,17,2641,0,26,2,0,0,0,0,0,0,13,0
2/28/2020,21,2682,0,34,2,0,0,0,0,0,0,13,0
2/29/2020,29,2727,0,43,2,1,0,0,0,0,0,16,0
3/1/2020,34,2761,0,54,2,1,0,0,0,0,0,17,0
3/2/2020,52,2803,0,66,3,6,0,0,0,0,0,28,0
3/3/2020,79,2835,1,77,4,7,0,0,0,0,0,28,0
3/4/2020,107,2871,2,92,4,11,0,0,0,0,0,35,0
3/5/2020,148,2902,3,107,6,12,1,0,0,0,1,35,0
3/6/2020,197,2931,5,124,9,14,2,1,0,0,1,42,0
3/7/2020,233,2959,10,145,11,17,2,1,0,0,1,44,0
3/8/2020,366,2986,17,194,19,21,3,3,0,0,2,50,0
3/9/2020,463,3008,28,237,19,22,4,3,2,0,2,53,0
3/10/2020,631,3024,35,291,33,28,6,4,2,0,3,54,0
3/11/2020,827,3046,54,354,48,36,8,5,3,3,4,60,1
3/12/2020,827,3056,55,429,48,40,8,5,3,3,4,66,1
3/13/2020,1266,3062,133,514,79,47,8,10,7,3,11,66,4
3/14/2020,1441,3075,195,611,91,54,21,12,9,4,13,72,5
3/15/2020,1809,3085,289,724,91,63,21,20,11,4,14,75,5
3/16/2020,2158,3099,342,853,148,85,55,24,17,5,14,75,5
3/17/2020,2503,3111,533,988,148,108,55,43,24,10,27,81,5
3/18/2020,2978,3122,623,1135,148,118,71,58,28,14,28,84,19
3/19/2020,3405,3130,830,1284,243,200,137,76,44,21,41,91,25
3/20/2020,4032,3133,1043,1433,450,244,177,106,67,37,54,94,32
3/21/2020,4825,3139,1375,1556,562,307,233,136,84,67,75,102,38
3/22/2020,5476,3153,1772,1685,674,417,281,179,94,75,98,111,48
3/23/2020,6077,3153,2311,1812,860,557,335,213,123,88,120,111,49
3/24/2020,6820,3160,2808,1934,1100,706,422,276,157,122,122,120,55
